Surname,Firstname,Branch,Military Unit,Page No
HACKNEY,Henry,Railways Traffic,5th Field Artillery Brigade,4
HADDOW,David E,Tramways Electrical,2nd Battalion,25
HALL,Henry G,Railways Locomotive,61st Battalion,10
HALL,Reginald E,Railways Permanent Way,55th Battalion (3rd Reinforcements),16
HALPIN,Thomas F,Railways Locomotive,3rd Battalion (14th Reinforcements),10
HAMILTON,Archibald,Railways Permanent Way,3rd Battalion,16
HAMILTON,Gordon,Railways Traffic,14th Field Artillery Brigade,4
HAMILTON,Leslie,Railways Locomotive,3rd Battalion,10
HAMILTON,Thomas R,Railways Locomotive,11th Field Artillery Brigade,10
HAMMENCE,Edward G,Railways Locomotive,30th Battalion,10
HANDLEY,Charles H,Railways Permanent Way,1st Pioneer  Battalion,16
HANNA,Samuel J,Railways Traffic,35th Battalion,4
HANNA,William B,Railways Traffic,26th Battalion (11th Reinforcements),4
HANRAHAN,Thomas,Tramways Electrical,1st Battalion,25
HANSEN,Herbert,Railways Permanent Way,15th Battalion (5th Reinforcements),16
HANSON,George E,Tramways Traffic,17th Battalion (7th Reinforcements),22
HARDING,Henry,Railways Permanent Way,3rd Battalion,16
HARDY,Edward C,Tramways Traffic,1st Battalion,22
HARGRAVE,Geoffrey L,Tramways Electrical,13th Battalion,25
HARMAN,William H,Tramways Electrical,17th Battalion,25
HARPER,Cecil O,Tramways Traffic,53rd Battalion,22
HARPLEY,John,Railways Permanent Way,34th Battalion,16
HARRINGTON,Michael J,Railways Locomotive,17th Battalion (4th Reinforcements),10
HARRIS,Charles A,Railways Permanent Way,33rd Battalion,16
HARRIS,George,Railways Locomotive,30th Battalion,10
HARRIS,James H,Tramways Electrical,45th Battalion (5th Reinforcements),25
HARRIS,Sidney H,Tramways Traffic,4th Australian Field Artillery,22
HARRIS,William H,Railways Traffic,2nd Battalion (12th Reinforcements),4
HARRIS,William J H,Railways Traffic,9th Battalion (12th Reinforcements),4
HARRISON,David,Railways Locomotive,17th Battalion,10
HARRISON,Thomas,Railways Locomotive,4th Battalion (7th Reinforcements),10
HART,Albert L D,Railways Stores,4th Battalion (12th Reinforcements),20
HART,Frederick,Tramways Electrical,17th Battalion,25
HART,Michael P,Tramways Traffic,20th Battalion (16th Reinforcements),22
HART,Oscar,Railways Permanent Way,56th Battalion,16
HARTLEY,David,Railways Permanent Way,3rd Battalion,16
HARTLEY,William,Railways Signalling,17th Battalion (5th Reinforcements),19
HARTMAN,Stanley T,Tramways Stores,54th Battalion,27
HARTNETT,John,Tramways Traffic,105th Howitzer Battery,22
HARVEY,Bertie C,Railways Traffic,2nd Battalion,4
HARVEY,John,Railways Traffic,2nd Battalion (4th Reinforcements),4
HARVEY,Thomas,Railways Traffic,2nd Battalion,4
HARVEY,Wilfred G,Railways Locomotive,2nd Battalion (20th Reinforcements),10
HAWKES,George J,Railways Permanent Way,15th Battalion,16
HAY,David,Tramways Traffic,2nd Battalion (3rd Reinforcements),22
HAYES,Aaron H,Railways Locomotive,35th Battalion,10
HAYLEN,Francis H,Railways Locomotive,2nd Battalion (2nd Reinforcements),10
HAYLES,Noel A D,Tramways Traffic,13th Battalion,22
HEARD,William,Railways Locomotive,45th Battalion,10
HEAVENS,George,Railways Traffic,19th Battalion (11th Reinforcements),4
HEFNER,James,Railways Locomotive,35th Battalion (3rd Reinforcements),10
HELLIAR,Stewart,Railways Permanent Way,1st Battalion,16
HEMSLEY,George T,Railways Traffic,23rd Battalion,4
HENDRICK,John,Tramways Electrical,1st Battalion,25
HENNESSEY,Thomas J,Tramways Traffic,9th Battalion,22
HENNESSY,John A,Tramways Traffic,36th Battalion,22
HENRY,Patrick H,Railways Permanent Way,53rd Battalion,16
HEPPLE,William,Tramways Traffic,34th Battalion (4th Reinforcements),22
HERBERT,John C,Railways Permanent Way,2nd Battalion (2nd Reinforcements),16
HERLIHY,William B,Railways Permanent Way,53rd Battalion (10th Reinforcements),16
HERON,John,Railways Locomotive,3rd Battalion (1st Reinforcements),10
HESKETH,Leonard W,Railways Traffic,1st Battalion (9th Reinforcements),4
HESTER,William,Tramways Traffic,55th Battalion,22
HEWETT,William,Railways Locomotive,13th Battalion (20th Reinforcements),10
HEWIT,Walter,Railways Locomotive,14th Machine Gun Company,10
HICKEY,Maurice J,Tramways Traffic,14th Field Artillery Brigade,22
HICKS,Alfred P,Railways Locomotive,13th Battalion (23rd Reinforcements),10
HIGGINSON,Ernest E,Railways Traffic,2nd Battalion,4
HILL,Willoughby,Railways Locomotive,8th Battalion (22nd Reinforcements),10
HILLIER,Andrew J,Railways Locomotive,36th Battalion,10
HILLIER,Joseph,Railways Locomotive,5th Pioneer  Battalion,10
HILLS,Herbert C,Tramways Electrical,1st Battalion (12th Reinforcements),25
HINSON,Rupert S,Tramways Electrical,55th Battalion,25
HINTON,Ernest H,Railways Traffic,1st Battalion,4
HOCKEY,Cecil P,Tramways Traffic,4th Battalion,22
HODGSON,Henry,Tramways Traffic,4th Battalion,22
HODGSON,Walter,Railways Traffic,19th Battalion (9th Reinforcements),4
HOGAN,Patrick,Tramways Permanent Way,55th Battalion (6th Reinforcements),27
HOLDEN,James,Tramways Traffic,1st Battalion (1st Reinforcements),22
HOLLAND,George A,Railways Locomotive,18th Battalion,10
HOLLANDS,Thomas C,Railways Locomotive,4th Battalion,10
HOLLYOAKE,Frederick G,Railways Permanent Way,18th Battalion (14th Reinforcements),16
HOMER,Victor W M,Railways Locomotive,57th Battalion,10
HOOD,William R,Railways Locomotive,54th Battalion,10
HOOK,Harold,Tramways Electrical,20th Battalion (2nd Reinforcements),25
HOPE,Edward J,Railways Permanent Way,54th Battalion,16
HOPKINS,Frederick L,Tramways Traffic,1st Battalion,22
HORAN,Charles T,Railways Locomotive,3rd Battalion,10
HORAN,Richard J,Railways Locomotive,1st Battalion,10
HORNBY,Thomas W,Railways Locomotive,2nd Battalion,10
HORSFIELD,Frederick,Tramways Electrical,55th Battalion,25
HOSKINS,George T,Tramways Permanent Way,45th Battalion (9th Reinforcements),27
HOSKINS,Robert M,Tramways Traffic,39th Battalion (5th Reinforcements),22
HOUSE,William H,Railways Permanent Way,1st Battalion (21st Reinforcements),16
HOWARD,Albert E,Railways Traffic,30th Battalion (4th Reinforcements),4
HOWARD,Eric J,Railways Locomotive,1st Pioneer Battalion,10
HOWARD,John,Railways Traffic,19th Battalion,4
HOWARTH,Henry J,Railways Locomotive,1st Battalion,10
HOWARTH,John F S,Tramways Electrical,4th Battalion,25
HUGHES,Francis H,Tramways Traffic,9th Field Ambulance,22
HUGHES,George T,Railways Traffic,2nd Battalion,4
HUGHES,Gordon D,Railways Electrical,20th Battalion (6th Reinforcements),19
HUGHES,Joseph E,Railways Permanent Way,36th Battalion (4th Reinforcements),16
HULLS,Herbert W,Railways Locomotive,30th Battalion,10
HUNT,Arnold L,Railways Traffic,5th Field Ambulance,4
HUNTLEY,Clive N R,Railways Permanent Way,1st Field Engineers,16
HURLEY,George,Railways Locomotive,20th Battalion (7th Reinforcements),10
HURT,Charles,Railways Permanent Way,26th Battalion (11th Reinforcements),16
HUSH,Austin S,Railways Traffic,55th Battalion,4
HUTCHINSON,Herbert B,Tramways Electrical,19th Battalion,25
HYDE,Harold C,Railways Stores,1st Battalion (12th Reinforcements),20
HYLAND,Thomas,Railways Permanent Way,4th Battalion (2nd Reinforcements),16
IBBOTT,Albert E,Tramways Traffic,55th Battalion,22
INGLETON,Robert R,Railways Locomotive,18th Battalion,11
INMAN,James,Railways Traffic,35th Battalion,4
IRONMONGER,Stanley,Railways Locomotive,1st Australian Army Corps Headquarters,11
IRVINE,Robert F,Railways Stores,35th Battalion (8th Reinforcements),20
IRWIN,Herbert I,Railways Electrical,45th Battalion (2nd Reinforcements),19
IRWIN,Victor,Railways Locomotive,60th Battalion (7th Reinforcements),11
JACKSON,Herbert A,Tramways Electrical,20th Battalion (4th Reinforcements),26
JACKSON,William V,Railways Locomotive,45th Battalion,11
JACOBSON,Thomas G,Railways Permanent Way,19th Battalion,16
JAGOE,John,Railways Locomotive,1st Battalion,11
JAMES,John W,Railways Permanent Way,56th Battalion (5th Reinforcements),16
JAMES,Walter N,Railways Signalling,18th Battalion,19
JAMIESON,William A,Railways Traffic,31st Battalion (3th Reinforcements),4
JAMIESON,William G,Railways Traffic,18th Battalion (6th Reinforcements),4
JARRETT,Thomas J,Railways Traffic,3rd Battalion,5
JARRETT,William F,Railways Locomotive,9th Machine Gun Company,11
JARVIS,Alexander,Railways Traffic,2nd Battalion,5
JEFFERY,George A,Tramways Traffic,56th Battalion,22
JEFFERY,Henry E,Railways Traffic,4th Battalion (20th Reinforcements),5
JENKINS,Robert,Tramways Electrical,13th Battalion (12th Reinforcements),26
JENKINS,Thomas W,Railways Locomotive,17th Battalion,11
JENNINGS,Arthur W,Railways Permanent Way,18th Battalion,16
JENNINGS,Charles E,Railways Locomotive,1st Battalion (2nd Reinforcements),11
JENNINGS,Charles W,Railways Permanent Way,53rd Battalion (2nd Reinforcements),16
JENNINGS,John E,Railways Traffic,4th Battalion,5
JENNINGS,William C,Railways Traffic,53rd Battalion,5
JENSON,Australian P,Railways Locomotive,31st Battalion (4th Reinforcements),11
JEPHCOTT,Arthur B,Tramways Electrical,18th Battalion,26
JOHN,Henry,Railways Permanent Way,23rd Machine Gun Section,16
JOHNSON,Lawrence L,Tramways Traffic,36th Battalion,22
JOHNSTON,Victor R,Railways Traffic,3rd Battalion,5
JOLLEY,Bertram C,Tramways Electrical,56th Battalion,26
JONES,Alfred,Tramways Traffic,3rd Battalion,22
JONES,Edward J,Railways Locomotive,20th Battalion (12th Reinforcements),11
JONES,Evan,Tramways Traffic,30th Battalion (3rd Reinforcements),22
JONES,George,Railways Traffic,13th Battalion,5
JONES,George E W,Tramways Traffic,19th Battalion,22
JONES,Herman H,Tramways Traffic,13th Battalion,23
JONES,John,Tramways Traffic,20th Battalion,23
JONES,Rupert C,Railways Permanent Way,33rd Battalion,16
JONES,Sidney F,Tramways Electrical,4th Battalion (5th Reinforcements),26
JONES,Stephen R,Railways Traffic,20th Battalion,5
JONES,William A,Railways Locomotive,14th Battalion (8th Reinforcements),11
JORDAN,Edwin,Railways Locomotive,4th Battalion,11
JOYCE,Peter,Railways Locomotive,53rd Battalion,11
JOYNSON,Keith,Railways Locomotive,1st Battalion,11
JUDD,Albert S,Railways Locomotive,36th Battalion,11
JUDD,Henry,Railways Traffic,13th Battalion,5
KEATING,Thomas P,Railways Permanent Way,20th Battalion,16
KEEN,Richard H,Railways Traffic,30th Battalion (6th Reinforcements),5
KELEHER,James M,Railways Permanent Way,-,16
KELSO,Cyril,Railways Locomotive,1st Field Artillery (13th Reinforcements),11
KENNEDY,Hugh M,Railways Locomotive,22nd Battalion,11
KENNEDY,Joseph K,Railways Traffic,1st Australian Field Artillery,5
KENNEDY,Stanley E,Railways Locomotive,20th Battalion (18th Reinforcements),11
KENNERLEY,Felix,Railways Permanent Way,4th Battalion,16
KERWICK,James J,Railways Locomotive,18th Battalion (17th Reinforcements),11
KEWLEY,Charles W,Railways Locomotive,1st Field Engineers,11
KIDSON,Alfred de V,Tramways Permanent Way,56th Battalion (9th Reinforcements),27
KILEY,Terrance,Railways Locomotive,1st Battalion,11
KILPATRICK,Robert C,Railways Locomotive,36th Battalion,11
KINCHINGTON,Robert,Railways Locomotive,3rd Battalion,11
KING,George,Railways Traffic,20th Battalion,5
KING,George W,Railways Locomotive,2nd Battalion (19th Reinforcements),11
KING,William,Railways Permanent Way,45th Battalion (2nd Reinforcements),16
KING,William,Railways Traffic,13th Battalion,5
KINKADE,Ernest J,Railways Locomotive,7th Aust Light Horse (19th Reinforcements),11
KIRKBY,Frederick J,Railways Signalling,3rd Battalion (10th Reinforcements),19
KIRWAN,Angus,Railways Locomotive,31st Battalion (4th Reinforcements),11
KIRWAN,Michael A,Railways Traffic,2nd Battalion,5
KISSELL,John,Tramways Traffic,13th Field Artillery Brigade,23
KITCHENER,Stephen J,Railways Signalling,18th Battalion,19
KITTO,Francis,Railways Traffic,Australian Flying Corps,5
KNIGHT,Charles O,Railways Locomotive,20th Battalion (10th Reinforcements),11
KNIGHT,Wilfred V,Railways Locomotive,1st Battalion,11
KNOX,John A,Railways Locomotive,19th Battalion (4th Reinforcements),11
KRENTZBERG,Harold,Railways Traffic,36th Battalion,5
LAGDEN,Richard,Railways Locomotive,45th Battalion,11
LAIRD,Charles,Railways Locomotive,39th Battalion (5th Reinforcements),11
LAKE,Leslie C,Railways Traffic,36th Battalion,5
LAKE,Thomas J,Railways Traffic,17th Battalion,5
LAKEY,Ernest T,Railways Locomotive,3rd Battalion (4th Reinforcements),11
LANDAMAN,Albert E,Tramways Traffic,5th Pioneer Battalion,23
LANDON,Lionel W,Railways Traffic,35th Battalion,5
LANE,Arthur,Railways Locomotive,5th Field Artillery Brigade,11
LANG,William,Railways Permanent Way,1st Battalion,17
LANSDOWN,Rufus C,Railways Traffic,20th Battalion,5
LARCOMBE,George H,Railways Audit,7th General Service Reinforcements,20
LARKIN,Andrew R,Railways Locomotive,1st Battalion,11
LARKINS,John J,Tramways Traffic,31st Battalion,23
LASSERE,Etienne L,Railways Permanent Way,45th Battalion,17
LATTER,Albert C,Tramways Electrical,3rd Battalion (18th Reinforcements),26
LAURENCE,Francis J,Tramways Electrical,17th Battalion (7th Reinforcements),26
LAURIE,William,Railways Permanent Way,1st Pioneer Battalion (4th Reinforcements),17
LAVERS,William V,Tramways Traffic,13th Field Artillery Brigade,23
LAWRENCE,Jack W,Railways Locomotive,6th Aust Light Horse (7th Reinforcements),11
LE SUEUR,William J J,Railways Locomotive,2nd Battalion (7th Reinforcements),11
LEE,Albert,Railways Locomotive,1st Battalion,11
LEE,Herbert,Tramways Traffic,Imperial Reservist,23
LEE,Robert A,Tramways Electrical,3rd Battalion,26
LEEDER,Reginald,Tramways Traffic,13th Battalion,23
LEEKE,Arthur F,Railways Locomotive,1st Battalion,11
LENAN,George,Tramways Traffic,13th Battalion,23
LENEHAN,Anthony,Railways Locomotive,17th Battalion,11
LENNIE,James,Tramways Traffic,18th Battalion,23
LESLIE,Alexander H,Railways Locomotive,18th Battalion,11
LEWIS,Arthur,Railways Traffic,4th Field Artillery Brigade,5
LILLIENDAL,Arthur,Railways Locomotive,53rd Battalion,11
LINDSAY,Alexander,Railways Traffic,14th Field Ambulance,5
LINDSAY,Dugald,Railways Traffic,4th Battalion (4th Reinforcements),5
LINDSAY,Thomas,Railways Locomotive,45th Battalion,11
LINSLEY,George,Railways Traffic,20th Battalion,5
LISTER,Sidney H T,Railways Traffic,17th Battalion,5
LITTLE,Robert H,Tramways Traffic,17th Battalion (10th Reinforcements),23
LIVINGSTONE,Albert,Railways Permanent Way,4th Battalion,17
LOCK,Daniel,Railways Permanent Way,13th Battalion,17
LOGAN,James,Railways Locomotive,17th Battalion,11
LOHSE,Alfred,Railways Permanent Way,4th Battalion,17
LORD,John S W,Railways Locomotive,1st Australian Light Horse,11
LORD,Roy,Railways Permanent Way,18th Battalion,17
LOVE,John A S,Railways Traffic,5th Field Company Engineers,5
LOVE,William,Railways Traffic,30th Battalion,5
LUCAS,Arthur T,Railways Traffic,45th Battalion,5
LUCK,Percy,Railways Locomotive,Scots Guard (Imperial Reservist),11
LUCRE,George H,Railways Permanent Way,30th Battalion,17
LUNDIE,Arthur P,Railways Permanent Way,13th Battalion,17
LYDE,Henry,Railways Locomotive,33rd Battalion,11
LYONS,John M,Tramways Traffic,17th Battalion,23
LYONS,John W,Railways Traffic,53rd Battalion,5
MACDONALD,Frederick,Railways Permanent Way,13th Battalion (4th Reinforcements),17
MACKLEY,Tom,Tramways Traffic,1st Battalion (7th Reinforcements),23
MACPHERSON,Ewan,Railways Locomotive,Royal Field Artillery,11
MADDEN,Trevelyn E,Railways Locomotive,4th Battalion (15th Reinforcements),12
MADDEN,Valentine J,Railways Permanent Way,1st Battalion,17
MADDEN,William R,Railways Locomotive,18th Battalion,12
MADDISON,Robert,Railways Traffic,18th Battalion (21st Reinforcements),5
MADELL,Edward R,Railways Audit,1st Field Artillery Brigade,20
MAFFESONI,Ernest,Railways Permanent Way,13th Battalion,17
MAFFESONI,James,Railways Permanent Way,18th Battalion,17
MAGUIRE,Hugh J,Railways Locomotive,45th Battalion,12
MAHER,Thomas P,Railways Traffic,1st Battalion (15th Reinforcements),5
MAHONEY,Harold J,Railways Traffic,17th Light Railway Operating Section,5
MAHONEY,Vincent C,Railways Traffic,Machine Gun Section,5
MAINSTONE,Arthur,Tramways Traffic,19th Battalion,23
MAIR,Thomas,Tramways Traffic,13th Field Ambulance,23
MAISEY,Milton H R,Railways Locomotive,14th Machine Gun Company,12
MAITLAND,Harold G M,Tramways Traffic,4th Battalion,23
MALCOLM,Errol G,Tramways Electrical,5th Light Trench Mortar Battery,26
MALONE,William T,Tramways Traffic,18th Battalion (18th Reinforcements),23
MANDERS,Joseph G,Railways Permanent Way,14th Field Company Engineers,17
MANSON,Alexander,Tramways Traffic,3rd Battalion (6th Reinforcements),23
MANTON,Alfred E,Tramways Traffic,1st Battalion,23
MANUS,Charles,Railways Signalling,13th Battalion,19
MARK,Clarence R,Railways Locomotive,4th Battalion,12
MARSDEN,Bryant,Railways Locomotive,3rd Battalion,12
MARSON,Richard,Railways Permanent Way,1st Divisional Salvage Corps,17
MARTIN,Frank,Tramways Traffic,4th Battalion (12th Reinforcements),23
MARZOL,Luke M,Railways Permanent Way,18th Battalion (15th Reinforcements),17
MASON,Roy,Railways Permanent Way,1st Tunnelling Company,17
MATCHETT,Henry W,Tramways Traffic,3rd Battalion (3rd Reinforcements),23
MATHERS,Thomas,Tramways Traffic,53rd Battalion (9th Reinforcements),23
MATTHEWS,Arthur F,Railways Signalling,30th Battalion,19
MATTHEWS,Henry C,Railways Permanent Way,34th Battalion,17
MAYER,Henry,Railways Traffic,3rd Battalion,6
MAYNARD,Harold H,Railways Traffic,48th Battalion,6
MAYNARD,Sedgwick,Railways Locomotive,30th Battalion (3rd Reinforcements),12
MAYO,Ernest,Railways Permanent Way,13th Battalion,17
MCBRIDE,Michael,Railways Locomotive,6th Field Artillery Brigade,11
MCCALLUM,Duncan,Railways Permanent Way,36th Battalion (6th Reinforcements),17
MCCAUCH,Peter,Railways Locomotive,56th Battalion,11
MCCOLGAN,George C,Railways Locomotive,2nd Battalion,11
MCCOOEY,Theodore J,Railways Locomotive,54th Battalion (6th Reinforcements),12
MCCORD,Thomas H,Tramways Traffic,17th Battalion (3rd Reinforcements),23
MCCRACKEN,John,Railways Traffic,2nd Battalion (14th Reinforcements),5
MCCRAY,Lionel,Railways Locomotive,18th Battalion,12
MCCULLOCH,William L,Tramways Traffic,17th Battalion (3rd Reinforcements),23
MCCULLOUGH,James,Railways Permanent Way,4th Battalion,17
MCCULLOUGH,Ralph,Railways Permanent Way,18th Battalion (10th Reinforcements),17
MCDONALD,Archibald,Tramways Electrical,2nd Battalion (4th Reinforcements),26
MCDONALD,Francis,Railways Locomotive,1st Battalion (14th Reinforcements),12
MCDONALD,Lionel,Railways Traffic,2nd Battalion (10th Reinforcements),5
MCDONALD,Richard,Railways Permanent Way,1st Battalion (16th Reinforcements),17
MCDONALD,Robert,Railways Permanent Way,3rd Battalion,17
MCDONALD,William,Tramways Electrical,4th Battalion,26
MCDOUALL,Frederick J,Railways Traffic,56th Battalion,5
MCDUFF,Joseph,Railways Permanent Way,2nd Battalion,17
MCENERNY,David,Railways Locomotive,1st Battalion (22nd Reinforcements),12
MCFARLANE,John,Tramways Traffic,18th Battalion (11th Reinforcements),23
MCGARRY,Edward,Railways Locomotive,4th Pioneer Battalion,12
MCGORRIN,James,Tramways Traffic,5th Field Artillery Brigade,23
MCGOWAN,Robert,Railways Traffic,36th Battalion,5
MCGRATH,Vivian,Railways Traffic,18th Battalion (9th Reinforcements),5
MCGUINNESS,Edward,Railways Permanent Way,1st Battalion,17
MCGUIRK,Thomas A,Tramways Traffic,3rd Battalion,23
MCINNES,Donald W,Railways Locomotive,4th Battalion,12
MCIVER,Thomas,Railways Traffic,18th Battalion (20th Reinforcements),5
MCKAY,Archibald J,Railways Traffic,1st Battalion (15th Reinforcements),5
MCKENZIE,George T,Railways Traffic,18th Battalion (9th Reinforcements),5
MCKENZIE,Thomas,Tramways Traffic,12th Field Ambulance,23
MCKERVEY,Reginald P,Railways Traffic,36th Battalion,5
MCKINNON,George D,Railways Traffic,Recruits,5
MCKINNON,Malcolm McL,Tramways Traffic,4th Battalion,23
MCLACHLAN,John H,Tramways Traffic,1st Battalion,23
MCLEAN,Donald W,Railways Traffic,4th Battalion (12th Reinforcements),5
MCLENNAN,Roderick,Railways Permanent Way,15th Battalion,17
MCLEOD,Angus,Railways Traffic,Seaforth Highlanders (Imp Res),5
MCLEOD,Hector,Railways Permanent Way,17th Battalion,17
MCLEOD,James K,Railways Traffic,13th Battalion,5
MCLEOD,Norman L,Railways Traffic,Recruits,5
MCLEOD,William A,Railways Traffic,2nd Australian Trench Mortar Battery,5
MCLEOD,William E,Tramways Electrical,-,26
MCMAHON,Patrick F,Railways Locomotive,1st Railway Unit,12
MCMILLAN,Alexander,Railways Permanent Way,1st Battalion,17
MCNEILL,Henry P,Railways Traffic,4th Battalion (13th Reinforcements),5
MCSPARRON,Archibald,Railways Traffic,18th Battalion,5
MCTAGGART,John,Tramways Traffic,33rd Battalion,23
MEADE,Arthur S,Railways Locomotive,1st Battalion (3rd Reinforcements),12
MEADOWCROFT,Frank,Railways Permanent Way,30th Battalion,17
MEEK,Joseph,Railways Locomotive,13th Battalion,12
MEGGISON,Harry,Tramways Permanent Way,2nd Battalion,27
MELLINGS,John L,Tramways Electrical,19th Battalion (2nd Reinforcements),26
MELROSE,John,Railways Permanent Way,54th Battalion (5th Reinforcements),17
MENDHAM,William,Railways Permanent Way,2nd Battalion,17
MENZIES,Cecil W,Railways Traffic,2nd Battalion (21st Reinforcements),6
MERRICK,Percy R,Railways Traffic,19th Battalion (7th Reinforcements),6
METCALF,Arthur C,Railways Signalling,55th Battalion,19
MEURANT,Walter,Railways Permanent Way,"5th Battery, Field Artillery Brigade",17
MEYER,Frederick H,Tramways Traffic,55th Battalion,23
MILES,Keith,Railways Permanent Way,4th Battalion (6th Reinforcements),17
MILEY,John W,Railways Locomotive,5th Field Ambulance,12
MILFORD,Harry,Railways Signalling,3rd Battalion (14th Reinforcements),19
MILLER,Harold H,Railways Locomotive,4th Battalion,12
MILLERSHIP,John,Railways Locomotive,19th Battalion (16th Reinforcements),12
MILNER,Reginald,Tramways Permanent Way,17th Battalion (12th Reinforcements),27
MINNIS,John A,Railways Traffic,1st Field Ambulance,6
MITCHELL,George P,Railways Traffic,53rd Battalion,6
MITCHELL,Henry G,Railways Locomotive,35th Battalion,12
MITCHELL,Thomas,Railways Locomotive,17th Battalion (9th Reinforcements),12
MOFFITT,James A,Railways Traffic,2nd Battalion,6
MONCKTON,Walter,Railways Permanent Way,33rd Battalion (5th Reinforcements),17
MONTGOMERY,George,Tramways Traffic,33rd Battalion,23
MOON,Clarence L,Railways Permanent Way,4th Battalion (20th Reinforcements),17
MOONEY,John I,Railways Traffic,19th Battalion,6
MOORE,Christopher,Railways Traffic,1st Battalion (16th Reinforcements),6
MOORE,Thomas M,Railways Locomotive,17th Battalion (5th Reinforcements),12
MOORE,William M,Railways Locomotive,55th Battalion (3rd Reinforcements),12
MORAN,John,Railways Traffic,53rd Battalion,6
MORGAN,Edward G,Railways Locomotive,7th Field Coy Engineers (4th Reinforcements),12
MORGAN,George W,Tramways Traffic,63rd Battalion,23
MORRIS,Alexander,Railways Locomotive,37th Battalion (5th Reinforcements),12
MORRIS,Edgar A,Railways Traffic,20th Battalion (12th Reinforcements),6
MORRIS,George A,Tramways Electrical,3rd Battalion,26
MOYLAN,Cecil J,Railways Traffic,9th Battalion (12th Reinforcements),6
MULLEN,Fargy,Railways Permanent Way,20th Battalion (9th Reinforcements),17
MULLEN,William H,Railways Permanent Way,1st Battalion,17
MULVIHILL,Lawrence,Railways Locomotive,55th Battalion (8th Reinforcements),12
MUNRO,Duncan K,Tramways Traffic,1st Pioneer Battalion,23
MURPHY,John J,Railways Traffic,30th Battalion (5th Reinforcements),6
MURPHY,William A,Railways Traffic,13th Battalion (16th Reinforcements),6
MURRAY,Charles,Railways Locomotive,3rd Battalion,12
MURRAY,David N,Railways Construction,1st Battalion (12th Reinforcements),20
MURRAY,John,Railways Permanent Way,17th Battalion (16th Reinforcements),17
MURRAY,John P,Railways Traffic,2nd Divisional Ambulance Column,6
MURRAY,Lindsay B,Railways Signalling,53rd Battalion,19
MURRAY,Robert H K,Railways Traffic,7th Field Ambulance,6
MURRIN,William J,Railways Traffic,13th Field Artillery Brigade,6
MUSGROVE,Randolph,Railways Locomotive,6th Australian Light Horse,12
MUSGROVE,Thomas H,Railways Permanent Way,13th Battalion (12th Reinforcements),17
MUTTON,Oswald F,Railways Construction,2nd Battalion (11th Reinforcements),20
NEEDHAM,William V,Railways Traffic,4th Battalion,6
NELMES,Arthur R,Railways Locomotive,18th Battalion,12
NEWBURY,Henry J,Railways Locomotive,3rd Battalion (18th Reinforcements),12
NEWTON,Rupert,Railways Locomotive,17th Battalion,12
NICHOLL,John W,Tramways Permanent Way,17th Battalion (8th Reinforcements),27
NICHOLLS,Arthur,Tramways Traffic,14th Light Trench Mortar Battery,23
NICHOLSON,Robert L,Railways Locomotive,13th Battalion,12
NICOLL,John,Railways Permanent Way,4th Battalion,17
NOAKES,Jack,Railways Permanent Way,2nd Battalion,17
NOBLE,Francis,Railways Chief Accountants,20th Battalion,20
NOLAN,John C,Tramways Permanent Way,20th Battalion (11th Reinforcements),27
NORTHEY,Alfred L,Railways Traffic,20th Battalion (4th Reinforcements),6
NOUD,Roy R,Railways Traffic,54th Battalion (6th Reinforcements),6
O'CONNOR,Maurice,Tramways Electrical,56th Battalion,26
O'DONNELL,Ewart S,Railways Traffic,2nd Battalion,6
O'FARRELL,James,Tramways Permanent Way,4th Battalion,27
O'NEIL,Fitzgerald,Tramways Traffic,7th Battalion (22nd Reinforcements),23
"O,KEEFE",Cornelius,Railways Traffic,4th Battalion,6
OBRIEN,Thomas F,Railways Locomotive,55th Battalion,12
OCONNOR,John,Railways Permanent Way,3rd Battalion,17
OLEARY,Daniel,Railways Locomotive,13th Battalion,12
OLLEY,Lawrence,Tramways Traffic,18th Battalion (2nd Reinforcements),23
OMALLEY,Clive,Railways Locomotive,2nd Battalion,12
OTT,Peter C,Railways Locomotive,38th Battalion,12
OVEREND,Robert,Railways Permanent Way,4th Battalion,17
OWEN,Charles,Railways Traffic,2nd Battalion,6
PAGE,James D,Railways Permanent Way,1st Field Engineers,17
PAGE,John J,Railways Traffic,3rd Battalion,6
PAGE,Stanley,Railways Traffic,17th Battalion,6
PAGE,Stephen,Railways Traffic,5th Brigade Machine Gun Company,6
PAGE,Thomas A,Railways Traffic,3rd Battalion,6
PALIN,Archibald E,Railways Locomotive,13th Battalion,12
PALMER,Charles L,Tramways Traffic,17th Battalion (8th Reinforcements),23
PAMPHLETT,James G,Railways Electrical,20th Battalion (9th Reinforcements),19
PARDEY,Leslie J,Railways Traffic,55th Battalion,6
PARIS,Robert,Tramways Permanent Way,4th Battalion (19th Reinforcements),27
PARKER,Edward T,Railways Permanent Way,31st Battalion (4th Reinforcements),17
PARNELL,Charles L,Railways Traffic,18th Battalion,6
PARR,Frank G,Railways Construction,34th Battalion,20
PARR,George,Tramways Traffic,1st Battalion,23
PARSONAGE,Bertie D,Railways Stores,2nd Battalion,20
PARSONS,Archibald L,Railways Locomotive,5th Field Artillery Brigade (7th Reinforcements),12
PATTERSON,John E,Railways Signalling,4th Battalion,19
PAUL,Lawrence,Railways Locomotive,4th Battalion,12
